Ticker;Position;Entry Date;Avg. Price;Exit Date;Exit Price;PnL %;Portfolio Exposure;Source;Position High;Position Low;Drawdown;Run Up
TSLA;LONG;08.03.2024;$181.50;30.04.2024;$187.10;3.09%;18.16%;Alen;$198.87;$138.80;-23.53%;9.57%
WMT;LONG;04.01.2024;$159.21;16.05.2024;$191.45;20.25%;6.38%;Alen;$193.26;$155.61;-2.26%;21.39%
CL;LONG;04.01.2024;$79.89;21.05.2024;$95.00;18.91%;3.21%;Alen;$95.59;$79.52;-0.46%;19.65%
TSLA;LONG;30.04.2024;$186.13;21.05.2024;$186.79;0.36%;22.11%;Alen;$190.95;$167.75;-9.87%;2.59%
NVDA;LONG;16.05.2024;$952.51;23.05.2024;$1,025.00;7.61%;10.23%;Alen;$1,063.20;$918.10;-3.61%;11.62%
AAPL;LONG;04.01.2024;$182.00;11.06.2024;$200.00;9.89%;7.29%;Alen;$207.16;$164.08;-9.85%;13.82%
ISRG;LONG;22.05.2024;$402.56;12.06.2024;$428.14;6.35%;8.55%;Alen;$428.86;$396.15;-1.59%;6.53%
ISRG;LONG;12.06.2024;$427.00;13.06.2024;$424.00;-0.70%;8.55%;Alen;$428.86;$420.86;-1.44%;0.44%
ADBE;LONG;13.06.2024;$459.71;14.06.2024;$525.04;14.21%;9.20%;Alen;$534.45;$453.50;-1.35%;16.26%
XOM;LONG;17.06.2024;$108.36;24.06.2024;$110.16;1.66%;9.83%;Alen;$114.53;$108.18;-0.17%;5.69%
XOM;LONG;24.06.2024;$114.05;24.06.2024;$118.52;3.92%;5.64%;Alen;$114.53;$111.64;-2.11%;0.42%
MSFT;LONG;04.01.2024;$370.83;03.07.2024;$460.00;24.05%;14.84%;Alen;$461.02;$366.50;-1.17%;24.32%
NBIX;LONG;04.01.2024;$132.92;01.08.2024;$155.00;16.61%;5.33%;Alen;$150.39;$128.00;-3.70%;13.14%
PLTR;LONG;24.06.2024;$23.97;26.08.2024;$31.15;29.95%;2.40%;Alen;$33.13;$21.23;-11.43%;38.21%
CRWD;LONG;13.09.2024;$257.00;20.09.2024;$300.00;16.73%;12.86%;Alen;$300.45;$256.00;-0.39%;16.91%
COIN;LONG;06.09.2024;$147.35;14.10.2024;$180.81;22.71%;10.90%;Alen;$197.69;$146.12;-0.83%;34.16%
COIN;LONG;09.09.2024;$155.65;15.10.2024;$191.28;22.89%;1.68%;Alen;$204.90;$149.51;-3.94%;31.64%
MSFT;LONG;10.10.2024;$415.00;15.10.2024;$422.21;1.74%;8.31%;Alen;$424.04;$413.15;-0.45%;2.18%
TSLA;LONG;09.10.2024;$244.00;25.10.2024;$265.00;8.61%;13.23%;Alen;$269.49;$212.11;-13.07%;10.45%
